id,temperature,humidity,sound_volume,inspection_due
1,62.58,74,73,0
2,16.55,58,62,0
3,19.97,55,80,0
4,75.16,50,35,0
5,27.74,15,51,0
6,10.92,58,39,0
7,75.53,10,32,0
8,29.53,34,50,0
9,99.7,35,60,0
10,41.73,81,60,0
11,5.0,76,102,0
12,8.57,28,47,0
13,65.16,56,44,0
14,48.64,62,114,1
15,96.61,66,77,0
16,96.21,21,54,0
17,23.36,98,119,0
18,48.41,67,109,1
19,23.41,24,88,0
20,37.81,6,73,0
21,14.98,7,73,0
22,99.77,9,117,0
23,14.45,71,94,0
24,47.27,92,29,0
25,52.48,78,32,0
26,48.82,49,102,0
27,26.26,75,96,0
28,93.89,92,29,0
29,74.94,16,97,0
30,56.21,89,21,0
31,5.2,55,43,0
32,97.07,14,95,0
33,93.27,29,37,0
34,50.37,44,21,0
35,81.66,44,35,0
36,89.47,48,58,0
37,5.5,47,95,0
38,55.85,95,84,1
39,57.01,24,48,0
40,43.77,100,52,0
41,29.03,50,56,0
42,25.38,27,105,0
43,33.31,2,76,0
44,84.32,7,53,0
45,56.06,34,81,0
46,36.84,59,54,0
47,54.49,86,117,1
48,69.21,17,92,0
49,56.42,71,33,0
50,57.62,37,45,0
51,32.32,98,109,1
52,0.21,84,115,0
53,63.66,62,58,0
54,34.54,99,20,0
55,49.59,92,97,1
56,14.8,99,56,0
57,87.28,68,22,0
58,42.35,58,100,1
59,62.26,72,114,1
60,99.88,100,112,1
61,74.47,56,58,0
62,36.17,44,112,0
63,65.73,81,84,1
64,76.46,91,100,1
65,64.58,37,54,0
66,9.94,72,108,0
67,87.64,83,49,0
68,44.56,2,43,0
69,13.94,43,111,0
70,84.03,78,95,1
71,1.21,29,59,0
72,62.37,35,59,0
73,20.51,55,32,0
74,75.84,2,66,0
75,93.63,57,62,0
76,14.48,55,23,0
77,99.67,15,74,0
78,60.99,44,91,0
79,46.4,44,28,0
80,58.72,51,117,1
81,65.89,44,86,0
82,62.49,83,20,0
83,43.25,73,39,0
84,11.58,53,50,0
85,15.1,35,68,0
86,3.51,22,64,0
87,37.0,15,23,0
88,35.25,31,115,0
89,4.33,46,42,0
90,3.37,24,92,0
91,63.53,6,72,0
92,75.63,69,87,1
93,21.25,66,100,0
94,22.73,77,39,0
95,47.73,63,89,1
96,20.82,99,31,0
97,22.63,42,101,0
98,35.54,86,77,0
99,8.43,44,104,0
100,2.31,34,80,0
101,99.63,33,45,0
102,74.23,91,48,0
103,63.43,44,28,0
104,27.06,11,112,0
105,69.99,14,84,0
106,31.07,48,24,0
107,23.82,17,28,0
108,87.63,31,120,0
109,9.33,59,26,0
110,23.67,97,30,0
111,69.11,9,120,0
112,9.86,82,90,0
113,14.44,29,39,0
114,47.79,31,43,0
115,76.96,90,92,1
116,82.66,83,93,1
117,5.02,57,66,0
118,55.14,37,84,0
119,93.62,84,99,1
120,79.41,88,24,0
121,35.02,9,20,0
122,26.2,92,64,0
123,41.41,65,52,0
124,72.92,94,87,1
125,68.8,16,75,0
126,99.05,26,62,0
127,0.26,3,60,0
128,77.09,48,98,0
129,27.9,52,77,0
130,11.55,2,42,0
131,96.2,85,60,0
132,69.03,22,98,0
133,69.85,5,94,0
134,91.18,29,41,0
135,63.74,20,66,0
136,85.35,78,97,1
137,42.59,94,80,0
138,10.16,29,115,0
139,22.14,14,113,0
140,34.36,91,40,0
141,28.86,50,66,0
142,14.78,22,64,0
143,73.55,23,49,0
144,94.51,9,77,0
145,34.59,68,43,0
146,31.42,88,115,1
147,72.86,36,55,0
148,45.69,25,50,0
149,15.93,79,95,0
150,21.65,46,109,0
151,43.44,82,33,0
152,41.36,84,54,0
153,70.72,84,114,1
154,86.37,44,47,0
155,30.78,74,82,1
156,18.22,33,54,0
157,81.48,98,98,1
158,8.9,56,61,0
159,78.01,32,51,0
160,41.58,100,38,0
161,22.03,70,78,0
162,72.07,2,62,0
163,8.55,9,26,0
164,6.01,92,78,0
165,22.79,41,54,0
166,90.55,75,34,0
167,41.82,91,86,1
168,31.33,96,54,0
169,0.7,69,83,0
170,98.51,27,47,0
171,54.91,97,27,0
172,74.85,91,67,0
173,74.09,93,60,0
174,13.93,1,86,0
175,54.92,95,44,0
176,27.63,34,110,0
177,51.75,58,69,0
178,8.67,3,25,0
179,62.8,56,118,1
180,86.44,63,29,0
181,43.17,77,117,1
182,11.86,17,50,0
183,82.29,36,118,0
184,33.65,24,43,0
185,73.46,50,65,0
186,17.19,14,34,0
187,16.98,9,20,0
188,40.46,66,45,0
189,64.76,55,85,1
190,11.53,11,51,0
191,14.25,85,28,0
192,70.61,79,52,0
193,45.17,52,98,1
194,5.92,2,54,0
195,89.55,48,26,0
196,81.14,8,26,0
197,16.65,11,72,0
198,12.54,95,57,0
199,57.25,90,105,1
200,37.47,28,49,0
201,47.32,96,56,0
202,40.04,99,78,0
203,83.18,89,50,0
204,18.61,92,89,0
205,54.2,3,41,0
206,99.4,51,43,0
207,58.7,17,87,0
208,32.1,90,89,1
209,19.12,28,85,0
210,15.32,96,55,0
211,6.38,11,41,0
212,80.03,63,64,0
213,12.0,94,76,0
214,79.84,88,20,0
215,51.71,96,42,0
216,77.96,18,90,0
217,18.32,66,73,0
218,87.33,38,51,0
219,36.17,6,71,0
220,67.38,27,30,0
221,71.85,65,67,0
222,98.8,95,73,0
223,76.73,28,86,0
224,3.31,31,68,0
225,42.44,6,92,0
226,54.79,86,74,0
227,94.65,61,91,1
228,7.8,89,50,0
229,94.85,93,110,1
230,25.21,49,44,0
231,24.58,52,92,0
232,44.81,4,46,0
233,87.72,85,85,1
234,99.47,26,114,0
235,46.54,90,68,0
236,67.06,43,35,0
237,24.64,25,27,0
238,46.07,64,102,1
239,92.83,90,76,0
240,84.79,26,22,0
241,54.83,99,61,0
242,44.22,72,95,1
243,32.14,47,100,0
244,53.86,23,119,0
245,34.13,81,67,0
246,94.29,34,64,0
247,56.24,86,100,1
248,26.08,75,60,0
249,24.14,84,29,0
250,50.93,2,47,0
251,33.38,70,77,0
252,86.94,47,61,0
253,55.15,96,94,1
254,32.6,40,119,0
255,36.07,34,48,0
256,23.02,63,97,0
257,41.32,40,23,0
258,78.04,27,63,0
259,38.92,59,103,1
260,98.83,93,69,0
261,20.61,89,97,0
262,7.21,41,51,0
263,24.03,65,90,0
264,56.14,91,100,1
265,33.39,4,68,0
266,99.15,28,100,0
267,72.05,43,84,0
268,39.8,27,102,0
269,34.87,23,29,0
270,51.33,77,24,0
271,54.68,38,23,0
272,92.55,15,94,0
273,86.0,62,27,0
274,31.91,1,117,0
275,18.16,94,113,0
276,54.17,8,119,0
277,68.33,32,93,0
278,1.73,48,57,0
279,75.93,8,74,0
280,84.62,47,44,0
281,89.7,49,115,0
282,22.64,77,106,0
283,67.82,45,45,0
284,15.94,45,65,0
285,65.44,46,28,0
286,66.2,87,35,0
287,31.63,10,114,0
288,39.48,36,84,0
289,72.46,62,118,1
290,22.78,83,94,0
291,87.85,7,107,0
292,84.61,47,33,0
293,85.91,72,85,1
294,63.13,69,114,1
295,55.94,59,27,0
296,11.44,82,96,0
297,25.49,28,24,0
298,2.8,97,53,0
299,78.99,28,47,0
300,32.64,71,56,0
301,26.93,59,21,0
302,13.49,1,95,0
303,76.21,88,64,0
304,63.98,69,113,1
305,14.41,9,112,0
306,63.85,97,87,1
307,5.46,44,101,0
308,8.33,88,120,0
309,22.9,4,54,0
310,33.21,21,82,0
311,30.74,20,63,0
312,99.09,15,23,0
313,55.44,90,75,0
314,45.87,66,94,1
315,25.18,52,54,0
316,89.83,80,83,1
317,44.55,36,44,0
318,12.53,54,36,0
319,85.69,8,49,0
320,63.34,27,100,0
321,44.22,60,115,1
322,69.88,98,104,1
323,22.41,16,108,0
324,6.69,85,112,0
325,51.6,4,45,0
326,90.15,6,118,0
327,72.25,82,49,0
328,69.44,7,32,0
329,69.41,37,80,0
330,49.74,22,99,0
331,90.76,58,75,0
332,50.99,95,49,0
333,37.21,58,32,0
334,99.29,67,31,0
335,8.62,7,25,0
336,64.41,52,70,0
337,54.21,10,68,0
338,53.32,65,26,0
339,69.53,86,107,1
340,73.94,34,84,0
341,49.97,29,64,0
342,53.82,55,77,0
343,84.47,86,119,1
344,44.86,6,84,0
345,81.97,80,100,1
346,50.07,24,59,0
347,71.3,84,113,1
348,0.05,58,48,0
349,93.24,13,35,0
350,64.53,85,88,1
351,25.65,84,79,0
352,81.09,61,64,0
353,97.99,35,53,0
354,3.78,54,54,0
355,60.55,61,67,0
356,45.11,83,37,0
357,85.77,35,75,0
358,59.45,14,67,0
359,32.08,72,40,0
360,42.77,33,47,0
361,63.56,78,40,0
362,35.4,71,63,0
363,2.34,24,28,0
364,13.81,34,54,0
365,73.01,39,101,0
366,29.26,14,31,0
367,31.98,60,58,0
368,6.38,35,120,0
369,95.15,51,91,1
370,16.41,44,29,0
371,2.59,6,78,0
372,56.91,38,111,0
373,11.99,44,57,0
374,35.06,44,46,0
375,64.51,2,81,0
376,72.56,22,97,0
377,35.03,67,108,1
378,83.4,67,112,1
379,78.14,66,52,0
380,97.97,13,99,0
381,98.84,51,53,0
382,51.58,100,117,1
383,80.4,34,72,0
384,37.5,35,51,0
385,17.88,74,76,0
386,81.85,53,63,0
387,17.83,97,101,0
388,5.5,62,33,0
389,83.84,24,69,0
390,87.91,85,24,0
391,80.74,81,29,0
392,67.29,23,82,0
393,91.17,69,61,0
394,25.68,4,70,0
395,87.27,100,85,1
396,34.64,48,22,0
397,53.96,55,85,1
398,27.22,11,36,0
399,77.86,28,94,0
400,97.26,21,110,0
401,43.28,85,43,0
402,55.54,90,120,1
403,92.47,79,110,1
404,24.82,24,50,0
405,6.84,31,37,0
406,45.93,84,40,0
407,11.21,61,71,0
408,24.18,44,114,0
409,72.4,30,83,0
410,38.97,75,32,0
411,10.42,34,37,0
412,95.81,16,60,0
413,3.18,68,42,0
414,56.18,36,99,0
415,0.09,60,112,0
416,69.32,30,98,0
417,56.45,64,66,0
418,66.11,40,62,0
419,0.84,53,115,0
420,75.36,31,63,0
421,51.66,35,87,0
422,21.79,46,45,0
423,90.52,21,79,0
424,96.04,55,99,1
425,98.38,49,23,0
426,35.17,52,97,1
427,55.11,20,29,0
428,86.59,79,104,1
429,76.81,60,55,0
430,79.62,38,86,0
431,93.39,7,28,0
432,93.95,12,82,0
433,1.39,41,37,0
434,75.73,47,24,0
435,69.69,83,60,0
436,28.86,19,75,0
437,63.49,47,74,0
438,91.11,16,67,0
439,12.28,98,25,0
440,30.61,71,21,0
441,23.26,95,40,0
442,1.31,37,52,0
443,22.41,1,53,0
444,36.59,40,75,0
445,15.28,68,43,0
446,76.78,91,85,1
447,91.35,51,69,0
448,49.84,52,27,0
449,74.04,29,61,0
450,70.68,1,112,0
451,30.01,86,89,1
452,0.54,95,68,0
453,6.32,100,114,0
454,95.73,45,102,0
455,70.63,66,93,1
456,71.97,19,64,0
457,64.26,1,84,0
458,33.37,98,50,0
459,44.0,18,30,0
460,1.82,54,61,0
461,66.97,11,75,0
462,66.17,62,33,0
463,67.37,87,49,0
464,79.49,78,107,1
465,65.07,49,54,0
466,54.47,70,81,1
467,43.12,12,89,0
468,87.41,86,85,1
469,90.24,91,69,0
470,47.1,49,95,0
471,11.93,37,119,0
472,50.12,39,101,0
473,30.01,95,82,1
474,95.72,23,115,0
475,81.75,88,93,1
476,45.24,72,84,1
477,58.2,38,63,0
478,91.24,4,82,0
479,29.29,60,107,0
480,70.19,98,108,1
481,15.75,98,81,0
482,94.22,34,67,0
483,36.6,37,114,0
484,33.01,30,80,0
485,26.01,56,26,0
486,52.78,51,60,0
487,54.65,28,85,0
488,21.32,35,100,0
489,38.89,64,65,0
490,14.28,22,25,0
491,19.31,3,57,0
492,79.9,62,84,1
493,14.36,61,91,0
494,22.13,41,54,0
495,56.1,90,31,0
496,96.71,10,48,0
497,97.73,61,39,0
498,52.71,18,48,0
499,3.92,85,87,0
500,59.9,26,90,0
501,55.98,66,63,0
502,55.98,18,96,0
503,5.35,56,74,0
504,19.92,34,88,0
505,33.15,16,27,0
506,1.6,9,35,0
507,36.79,41,99,0
508,31.67,48,42,0
509,22.67,34,41,0
510,52.61,90,119,1
511,9.05,42,56,0
512,73.86,51,101,1
513,26.35,43,112,0
514,13.02,67,106,0
515,9.14,78,27,0
516,53.19,5,54,0
517,56.21,94,63,0
